It took 15.920997619628906 seconds to calculate the Mandelbrot graph.
It took 0.20399999618530273 seconds to dump the image.
         2697341 function calls (2670085 primitive calls) in 17.469 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.000    0.000 cycler.py:386(<dictcomp>)
      161    0.000    0.000    0.000    0.000 util.py:195(escape_re_range_char)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
       26    0.000    0.000    0.000    0.000 text.py:834(get_position)
        1    0.000    0.000    0.000    0.000 gridspec.py:335(__init__)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
       12    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
        4    0.000    0.000    0.000    0.000 axis.py:1015(_set_artist_props)
        9    0.000    0.000    0.000    0.000 deprecation.py:466(deprecate_method_override)
      135    0.000    0.000    0.000    0.000 six.py:93(__init__)
       32    0.000    0.000    0.000    0.000 os.py:740(check_str)
        2    0.000    0.000    0.000    0.000 ntpath.py:201(splitext)
        5    0.000    0.000    0.000    0.000 threading.py:75(RLock)
       78    0.000    0.000    0.000    0.000 _internal.py:826(<genexpr>)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
      128    0.000    0.000    0.000    0.000 backend_bases.py:177(open_group)
      104    0.000    0.000    0.000    0.000 docstring.py:90(copy)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
      144    0.000    0.000    0.000    0.000 fromnumeric.py:2633(_amax_dispatcher)
       99    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 helpers.py:684(OpAssoc)
        1    0.000    0.000    0.000    0.000 _mathtext.py:647(StixFonts)
        1    0.000    0.000    0.000    0.000 fractions.py:60(Fraction)
       32    0.000    0.000    0.000    0.000 {built-in method math.floor}
        8    0.000    0.000    0.000    0.000 transforms.py:1850(is_separable)
        1    0.000    0.000    0.000    0.000 art3d.py:160(Line3D)
      138    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 getlimits.py:237(_get_machar)
        3    0.000    0.000    0.000    0.000 ufunclike.py:41(_fix_out_named_y)
        2    0.000    0.000    0.000    0.000 rcsetup.py:259(_validate_toolbar)
        1    0.000    0.000    0.000    0.000 transforms.py:2644(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:899(PathPatch)
        1    0.000    0.000    0.000    0.000 re.py:299(_compile_repl)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
       84    0.000    0.000    0.000    0.000 artist.py:716(get_path_effects)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
        4    0.000    0.000    0.000    0.000 transforms.py:1735(_set)
       42    0.000    0.000    0.000    0.000 core.py:647(<genexpr>)
        1    0.000    0.000    0.000    0.000 figure.py:116(SubplotParams)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<dictcomp>)
       86    0.000    0.000    0.000    0.000 backend_bases.py:993(get_hatch)
       11    0.000    0.000    0.000    0.000 dataclasses.py:309(field)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:628(<dictcomp>)
      128    0.000    0.000    0.000    0.000 fromnumeric.py:3216(_around_dispatcher)
        1    0.000    0.000    0.000    0.000 core.py:311(condition_as_parse_action)
      143    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        1    0.000    0.000    0.000    0.000 testing.py:124(TestParseResultsAsserts)
        1    0.000    0.000    0.000    0.000 _methods.py:60(_all)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 core.py:4927(__init__)
        3    0.000    0.000    0.000    0.000 pyplot.py:833(gcf)
        1    0.000    0.000    0.000    0.000 artist.py:978(_set_alpha_for_array)
       86    0.000    0.000    0.000    0.000 backend_bases.py:1012(get_hatch_linewidth)
        1    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:130(_add_integer_aliases)
        4    0.000    0.000    0.000    0.000 __init__.py:2179(_backend_module_name)
       86    0.000    0.000    0.000    0.000 backend_bases.py:1016(get_sketch_params)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1297(RegularPolyCollection)
        6    0.000    0.000    0.000    0.000 hatch.py:182(_validate_hatch_pattern)
       20    0.000    0.000    0.000    0.000 axis.py:222(get_tick_padding)
        1    0.000    0.000    0.000    0.000 backend_qt.py:625(NavigationToolbar2QT)
        1    0.000    0.000    0.000    0.000 _dtype.py:5(<module>)
       16    0.000    0.000    0.000    0.000 ticker.py:1622(raise_if_exceeds)
       85    0.000    0.000    0.000    0.000 path.py:245(should_simplify)
        1    0.000    0.000    0.000    0.000 random.py:681(getrandbits)
        1    0.000    0.000    0.000    0.000 transforms.py:686(Bbox)
        1    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        2    0.000    0.000    0.000    0.000 transforms.py:1001(intervalx)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
       37    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 weakref.py:51(_cb)
       57    0.000    0.000    0.000    0.000 core.py:3774(<genexpr>)
       86    0.000    0.000    0.000    0.000 backend_bases.py:1004(get_hatch_color)
        1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 typing.py:745(_VariadicGenericAlias)
        2    0.000    0.000    0.000    0.000 artist.py:1076(set_label)
        2    0.000    0.000    0.000    0.000 figure.py:293(get_children)
       36    0.000    0.000    0.000    0.000 backend_agg.py:295(get_canvas_width_height)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:294(IFDRational)
       36    0.000    0.000    0.000    0.000 {method 'get_width_height' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.000    0.000    0.000    0.000 figure.py:121(__init__)
        1    0.000    0.000    0.000    0.000 tripcolor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:374(__getattr__)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
        1    0.000    0.000    0.000    0.000 widgets.py:1798(_SelectorWidget)
        3    0.000    0.000    0.000    0.000 text.py:524(set_clip_box)
        7    0.000    0.000    0.000    0.000 legend_handler.py:144(__init__)
        1    0.000    0.000    0.000    0.000 gridspec.py:33(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method winreg.ConnectRegistry}
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
        2    0.000    0.000    0.000    0.000 core.py:2219(__init__)
       42    0.000    0.000    0.000    0.000 results.py:262(haskeys)
        1    0.000    0.000    0.000    0.000 sre_parse.py:945(parse_template)
       36    0.000    0.000    0.000    0.000 markers.py:282(get_joinstyle)
        6    0.000    0.000    0.000    0.000 patches.py:494(set_joinstyle)
      107    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       53    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.000    0.000 ntpath.py:219(dirname)
        1    0.000    0.000    0.000    0.000 _base.py:1735(set_box_aspect)
        1    0.000    0.000    0.000    0.000 threading.py:744(Thread)
       86    0.000    0.000    0.000    0.000 backend_bases.py:776(restore)
      138    0.000    0.000    0.000    0.000 core.py:746(postParse)
       60    0.000    0.000    0.000    0.000 markers.py:371(_set_nothing)
        1    0.000    0.000    0.000    0.000 pathlib.py:840(with_name)
        6    0.000    0.000    0.000    0.000 core.py:3731(filled)
        7    0.000    0.000    0.000    0.000 Image.py:3116(register_open)
        1    0.000    0.000    0.000    0.000 typing.py:792(Generic)
       56    0.000    0.000    0.000    0.000 __init__.py:1619(<lambda>)
        4    0.000    0.000    0.000    0.000 legend_handler.py:187(__init__)
        1    0.000    0.000    0.000    0.000 proj3d.py:3(<module>)
        7    0.000    0.000    0.000    0.000 numerictypes.py:230(obj2sctype)
        1    0.000    0.000    0.000    0.000 threading.py:499(__init__)
       15    0.000    0.000    0.000    0.000 Image.py:3165(register_extension)
       15    0.000    0.000    0.000    0.000 core.py:1278(_replace_dtype_fields_recursive)
       95    0.000    0.000    0.000    0.000 core.py:244(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:4749(ZeroOrMore)
       85    0.000    0.000    0.000    0.000 path.py:233(simplify_threshold)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:701(__len__)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
        1    0.000    0.000    0.000    0.000 core.py:6234(mvoid)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
       48    0.000    0.000    0.000    0.000 artist.py:657(get_sketch_params)
       47    0.000    0.000    0.000    0.000 text.py:543(set_wrap)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 threading.py:513(set)
        1    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
        2    0.000    0.000    0.000    0.000 arrayprint.py:465(decorating_function)
       67    0.000    0.000    0.000    0.000 fromnumeric.py:193(_reshape_dispatcher)
        1    0.000    0.000    0.000    0.000 core.py:99(__diag__)
        1    0.000    0.000    0.000    0.000 font_manager.py:1028(FontManager)
        1    0.000    0.000    0.000    0.000 version.py:106(LegacyVersion)
       14    0.000    0.000    0.000    0.000 _binary.py:101(o32be)
        1    0.000    0.000    0.000    0.000 figure.py:1928(_set_artist_props)
       13    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 ntpath.py:178(split)
       70    0.000    0.000    0.000    0.000 axis.py:357(<genexpr>)
        1    0.000    0.000    0.000    0.000 _globals.py:77(__new__)
        1    0.000    0.000    0.000    0.000 exceptions.py:19(ParseBaseException)
        1    0.000    0.000    0.000    0.000 _enums.py:17(_AutoStringNameEnum)
        1    0.000    0.000    0.000    0.000 ImageOps.py:20(<module>)
        7    0.000    0.000    0.000    0.000 core.py:2553(_arraymethod)
        2    0.000    0.000    0.000    0.000 transforms.py:1719(_init)
        8    0.000    0.000    0.000    0.000 rrule.py:77(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:381(__getitem__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:440(_setdef)
        1    0.000    0.000    0.000    0.000 __init__.py:2256(_make_class_factory)
        1    0.000    0.000    0.000    0.000 core.py:998(enable_packrat)
       54    0.000    0.000    0.000    0.000 text.py:235(get_transform_rotates_text)
        1    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
        7    0.000    0.000    0.000    0.000 weakref.py:290(update)
       24    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       55    0.000    0.000    0.000    0.000 fromnumeric.py:2263(_any_dispatcher)
       69    0.000    0.000    0.000    0.000 fromnumeric.py:3123(_ndim_dispatcher)
       29    0.000    0.000    0.000    0.000 core.py:4262(recurse)
        1    0.000    0.000    0.000    0.000 figure.py:78(bubble)
        4    0.000    0.000    0.000    0.000 six.py:194(find_spec)
       72    0.000    0.000    0.000    0.000 axis.py:287(get_loc)
       10    0.000    0.000    0.000    0.000 axis.py:1979(_make_getset_interval)
        1    0.000    0.000    0.000    0.000 ast.py:64(_convert)
        1    0.000    0.000    0.000    0.000 typing.py:1366(__new__)
        1    0.000    0.000    0.000    0.000 transforms.py:235(BboxBase)
        1    0.000    0.000    0.000    0.000 gridspec.py:227(__getitem__)
        6    0.000    0.000    0.000    0.000 dataclasses.py:739(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 _parser.py:394(_ymd)
       31    0.000    0.000    0.000    0.000 inspect.py:276(isbuiltin)
        1    0.000    0.000    0.000    0.000 core.py:5377(__init__)
       48    0.000    0.000    0.000    0.000 backend_bases.py:978(set_snap)
        1    0.000    0.000    0.000    0.000 polar.py:762(PolarAxes)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:367(__subclasshook__)
        8    0.000    0.000    0.000    0.000 fontconfig_pattern.py:144(_name)
        1    0.000    0.000    0.000    0.000 textpath.py:18(TextToPath)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 _factories.py:56(__init__)
       36    0.000    0.000    0.000    0.000 enum.py:203(<genexpr>)
        2    0.000    0.000    0.000    0.000 colors.py:1113(__init__)
        3    0.000    0.000    0.000    0.000 legend_handler.py:453(__init__)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.000    0.000 __init__.py:232(_remove_proxy)
        6    0.000    0.000    0.000    0.000 __init__.py:817(__init__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:311(add_text)
        1    0.000    0.000    0.000    0.000 core.py:2976(QuotedString)
        2    0.000    0.000    0.000    0.000 core.py:3459(__init__)
        1    0.000    0.000    0.000    0.000 core.py:4470(__init__)
       65    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 patches.py:2693(_Base)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:24(<module>)
       48    0.000    0.000    0.000    0.000 deprecation.py:176(__set_name__)
        9    0.000    0.000    0.000    0.000 text.py:365(<listcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:223(__init__)
       36    0.000    0.000    0.000    0.000 {method 'get_bitmap_offset' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.000    0.000    0.000    0.000 datetime.py:1187(__new__)
        1    0.000    0.000    0.000    0.000 threading.py:567(Barrier)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.000    0.000 collections.py:1723(EllipseCollection)
        1    0.000    0.000    0.000    0.000 dviread.py:773(PsfontsMap)
        1    0.000    0.000    0.000    0.000 tz.py:132(tzoffset)
        6    0.000    0.000    0.000    0.000 rcsetup.py:224(validate_fonttype)
        1    0.000    0.000    0.000    0.000 collections.py:1859(TriMesh)
        1    0.000    0.000    0.000    0.000 streamplot.py:428(TerminateTrajectory)
        8    0.000    0.000    0.000    0.000 axis.py:1381(get_minor_ticks)
        9    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        4    0.000    0.000    0.000    0.000 results.py:200(__setitem__)
       69    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
        4    0.000    0.000    0.000    0.000 qt_compat.py:148(_enum)
       32    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        2    0.000    0.000    0.000    0.000 Image.py:533(_new)
       56    0.000    0.000    0.000    0.000 __init__.py:1863(<genexpr>)
       12    0.000    0.000    0.000    0.000 docstring.py:31(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 threading.py:899(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 _base.py:2135(_sci)
        7    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        2    0.000    0.000    0.000    0.000 text.py:1104(set_fontweight)
        3    0.000    0.000    0.000    0.000 six.py:119(_resolve)
       28    0.000    0.000    0.000    0.000 axis.py:547(locator)
       32    0.000    0.000    0.000    0.000 axis.py:687(isDefault_majloc)
       42    0.000    0.000    0.000    0.000 enum.py:628(name)
        4    0.000    0.000    0.000    0.000 dataclasses.py:331(_tuple_str)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        2    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:832(<genexpr>)
       40    0.000    0.000    0.000    0.000 colors.py:282(<genexpr>)
        1    0.000    0.000    0.000    0.000 api.py:23(FFI)
        1    0.000    0.000    0.000    0.000 transforms.py:808(null)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        1    0.000    0.000    0.000    0.000 __init__.py:783(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:123(set_active)
       56    0.000    0.000    0.000    0.000 pathlib.py:497(_select_from)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:158(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 polynomial.py:1068(poly1d)
        6    0.000    0.000    0.000    0.000 six.py:131(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:2009(XAxis)
        2    0.000    0.000    0.000    0.000 types.py:93(prepare_class)
       14    0.000    0.000    0.000    0.000 mixins.py:26(_reflected_binary_method)
       96    0.000    0.000    0.000    0.000 util.py:198(no_escape_re_range_char)
        3    0.000    0.000    0.000    0.000 _pylab_helpers.py:105(get_active)
        1    0.000    0.000    0.000    0.000 _base.py:1671(set_adjustable)
       45    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        8    0.000    0.000    0.000    0.000 os.py:818(fsdecode)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:61(<genexpr>)
        8    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
        1    0.000    0.000    0.000    0.000 _internal.py:240(_missing_ctypes)
        4    0.000    0.000    0.000    0.000 core.py:3504(mask)
       16    0.000    0.000    0.000    0.000 ticker.py:480(set_useOffset)
       38    0.000    0.000    0.000    0.000 artist.py:590(get_url)
        1    0.000    0.000    0.000    0.000 figure.py:2890(add_axobserver)
        1    0.000    0.000    0.000    0.000 subprocess.py:633(Popen)
        1    0.000    0.000    0.000    0.000 core.py:5000(Forward)
        4    0.000    0.000    0.000    0.000 six.py:85(_import_module)
        1    0.000    0.000    0.000    0.000 backend_qt.py:74(<listcomp>)
        7    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       72    0.000    0.000    0.000    0.000 {method 'get_descent' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.000    0.000    0.000    0.000 datetime.py:804(__new__)
       47    0.000    0.000    0.000    0.000 core.py:3992(<genexpr>)
        1    0.000    0.000    0.000    0.000 parse.py:351(_fix_result_transcoding)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        2    0.000    0.000    0.000    0.000 tokenize.py:380(find_cookie)
        2    0.000    0.000    0.000    0.000 transforms.py:2194(__init__)
       47    0.000    0.000    0.000    0.000 core.py:3991(<genexpr>)
        1    0.000    0.000    0.000    0.000 _enums.py:115(<listcomp>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1132(Char)
       36    0.000    0.000    0.000    0.000 text.py:539(get_wrap)
       12    0.000    0.000    0.000    0.000 legend_handler.py:63(__init__)
        3    0.000    0.000    0.000    0.000 legend_handler.py:289(__init__)
       10    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.generic' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
        2    0.000    0.000    0.000    0.000 figure.py:2369(axes)
        1    0.000    0.000    0.000    0.000 _formlayout.py:418(FormDialog)
       56    0.000    0.000    0.000    0.000 stride_tricks.py:474(_broadcast_arrays_dispatcher)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1993(Chebyshev)
        2    0.000    0.000    0.000    0.000 model.py:264(__init__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:519(<listcomp>)
        2    0.000    0.000    0.000    0.000 figure.py:61(__init__)
        1    0.000    0.000    0.000    0.000 tz.py:1545(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:2275(YAxis)
        1    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
       31    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 transforms.py:1006(intervaly)
        1    0.000    0.000    0.000    0.000 unicode.py:31(unicode_set)
       36    0.000    0.000    0.000    0.000 markers.py:368(get_snap_threshold)
        1    0.000    0.000    0.000    0.000 backend_bases.py:149(RendererBase)
        2    0.000    0.000    0.000    0.000 textpath.py:24(__init__)
        1    0.000    0.000    0.000    0.000 spines.py:539(from_dict)
        2    0.000    0.000    0.000    0.000 _base.py:236(set_prop_cycle)
        8    0.000    0.000    0.000    0.000 ticker.py:1743(__call__)
        1    0.000    0.000    0.000    0.000 pyplot.py:854(get_fignums)
        7    0.000    0.000    0.000    0.000 patches.py:318(set_antialiased)
        1    0.000    0.000    0.000    0.000 contextlib.py:456(_push_cm_exit)
       16    0.000    0.000    0.000    0.000 __init__.py:115(__hash__)
        3    0.000    0.000    0.000    0.000 __init__.py:598(push)
        1    0.000    0.000    0.000    0.000 pathlib.py:1010(Path)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       32    0.000    0.000    0.000    0.000 axis.py:703(isDefault_minloc)
        1    0.000    0.000    0.000    0.000 contour.py:678(ContourSet)
        1    0.000    0.000    0.000    0.000 _mathtext.py:331(BakomaFonts)
       12    0.000    0.000    0.000    0.000 patches.py:2175(<genexpr>)
       26    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
       38    0.000    0.000    0.000    0.000 multiarray.py:1071(copyto)
       13    0.000    0.000    0.000    0.000 _internal.py:863(npy_ctypes_check)
        6    0.000    0.000    0.000    0.000 rcsetup.py:174(_make_type_validator)
       10    0.000    0.000    0.000    0.000 rcsetup.py:544(_validate_greaterequal0_lessthan1)
       29    0.000    0.000    0.000    0.000 cm.py:551(norm)
        4    0.000    0.000    0.000    0.000 _base.py:74(wrapper)
       32    0.000    0.000    0.000    0.000 axis.py:695(isDefault_majfmt)
       16    0.000    0.000    0.000    0.000 enum.py:571(_generate_next_value_)
        6    0.000    0.000    0.000    0.000 enum.py:860(_high_bit)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 ast.py:56(_convert_signed_num)
        6    0.000    0.000    0.000    0.000 core.py:582(filled)
       49    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {instance}
        2    0.000    0.000    0.000    0.000 Image.py:788(load)
        4    0.000    0.000    0.000    0.000 core.py:4778(_generateDefaultName)
        3    0.000    0.000    0.000    0.000 artist.py:747(set_clip_box)
       38    0.000    0.000    0.000    0.000 artist.py:821(get_alpha)
       36    0.000    0.000    0.000    0.000 lines.py:596(get_markevery)
        1    0.000    0.000    0.000    0.000 uuid.py:69(UUID)
        1    0.000    0.000    0.000    0.000 offsetbox.py:185(OffsetBox)
        1    0.000    0.000    0.000    0.000 stackplot.py:7(<module>)
       17    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        4    0.000    0.000    0.000    0.000 _collections_abc.py:680(values)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
       34    0.000    0.000    0.000    0.000 fromnumeric.py:2362(_all_dispatcher)
       15    0.000    0.000    0.000    0.000 platform.py:1098(machine)
       54    0.000    0.000    0.000    0.000 typing.py:176(<listcomp>)
        9    0.000    0.000    0.000    0.000 core.py:3463(parseImpl)
        1    0.000    0.000    0.000    0.000 collections.py:947(_CollectionWithSizes)
       18    0.000    0.000    0.000    0.000 text.py:218(_get_multialignment)
       32    0.000    0.000    0.000    0.000 axis.py:711(isDefault_minfmt)
        1    0.000    0.000    0.000    0.000 threading.py:358(notify_all)
        1    0.000    0.000    0.000    0.000 polar.py:447(_ThetaShift)
        5    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 pathlib.py:135(<setcomp>)
        5    0.000    0.000    0.000    0.000 core.py:5589(token_map)
        1    0.000    0.000    0.000    0.000 legend_handler.py:657(__init__)
        1    0.000    0.000    0.000    0.000 polar.py:18(PolarTransform)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x00000225A8F26168}
        3    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        4    0.000    0.000    0.000    0.000 deprecation.py:160(__get__)
        2    0.000    0.000    0.000    0.000 rcsetup.py:131(_validate_date)
        1    0.000    0.000    0.000    0.000 core.py:4866(SkipTo)
       36    0.000    0.000    0.000    0.000 markers.py:285(get_capstyle)
        1    0.000    0.000    0.000    0.000 dviread.py:976(_LuatexKpsewhich)
        9    0.000    0.000    0.000    0.000 text.py:368(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method PyQt5.QtCore.pyqtSlot}
        1    0.000    0.000    0.000    0.000 colors.py:1107(Normalize)
        1    0.000    0.000    0.000    0.000 core.py:2554(Word)
        4    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
        6    0.000    0.000    0.000    0.000 _ufunc_config.py:425(__init__)
        1    0.000    0.000    0.000    0.000 legendre.py:1618(Legendre)
        1    0.000    0.000    0.000    0.000 __init__.py:783(Grouper)
        1    0.000    0.000    0.000    0.000 colors.py:748(_set_extremes)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
       20    0.000    0.000    0.000    0.000 core.py:3559(recurse)
       11    0.000    0.000    0.000    0.000 dataclasses.py:233(__init__)
       29    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 laguerre.py:1605(Laguerre)
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
        1    0.000    0.000    0.000    0.000 core.py:76(__compat__)
       11    0.000    0.000    0.000    0.000 results.py:247(__iter__)
       36    0.000    0.000    0.000    0.000 text.py:741(get_color)
        9    0.000    0.000    0.000    0.000 _pytesttester.py:78(__init__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1649(HermiteE)
       16    0.000    0.000    0.000    0.000 ticker.py:559(set_useMathText)
        1    0.000    0.000    0.000    0.000 _base.py:546(<dictcomp>)
        1    0.000    0.000    0.000    0.000 datetime.py:1162(time)
        1    0.000    0.000    0.000    0.000 pickle.py:372(_Pickler)
        1    0.000    0.000    0.000    0.000 ast.py:49(_convert_num)
       36    0.000    0.000    0.000    0.000 lines.py:871(get_drawstyle)
       39    0.000    0.000    0.000    0.000 enum.py:664(<lambda>)
        2    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 hermite.py:1657(Hermite)
        1    0.000    0.000    0.000    0.000 inspect.py:2435(Parameter)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(__init__)
        4    0.000    0.000    0.000    0.000 pyplot.py:201(_get_required_interactive_framework)
       36    0.000    0.000    0.000    0.000 markers.py:352(get_alt_path)
        7    0.000    0.000    0.000    0.000 rrule.py:70(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:610(__getitem__)
        5    0.000    0.000    0.000    0.000 version.py:69(__lt__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:18(relativedelta)
        6    0.000    0.000    0.000    0.000 axis.py:1959(get_label_position)
        1    0.000    0.000    0.000    0.000 _secondary_axes.py:10(SecondaryAxis)
        1    0.000    0.000    0.000    0.000 backend_qt.py:83(<dictcomp>)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:64(<module>)
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
