It took 15.920997619628906 seconds to calculate the Mandelbrot graph.
It took 0.20399999618530273 seconds to dump the image.
         2697341 function calls (2670085 primitive calls) in 17.469 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.025    0.001 backend_agg.py:251(get_text_width_height_descent)
        1    0.000    0.000    0.024    0.024 core.py:12(<module>)
        2    0.000    0.000    0.024    0.012 core.py:193(read_style_directory)
   183973    0.019    0.000    0.024    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.024    0.024 quiver.py:15(<module>)
    32060    0.024    0.000    0.024    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.024    0.024 _pickle.py:1(<module>)
        1    0.000    0.000    0.024    0.024 text.py:3(<module>)
       36    0.000    0.000    0.023    0.001 axis.py:291(draw)
      466    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       28    0.000    0.000    0.023    0.001 __init__.py:837(rc_params_from_file)
40650/40568    0.014    0.000    0.022    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.022    0.022 lines.py:3(<module>)
        4    0.000    0.000    0.022    0.005 image.py:161(_resample)
        1    0.000    0.000    0.022    0.022 common.py:2(<module>)
      426    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.021    0.021 common.py:8(pyparsing_common)
        3    0.000    0.000    0.021    0.007 __init__.py:2(<module>)
     9092    0.021    0.000    0.021    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.021    0.021 image.py:1566(imsave)
       16    0.000    0.000    0.021    0.001 axis.py:759(_set_scale)
       16    0.000    0.000    0.021    0.001 scale.py:104(set_default_locators_and_formatters)
       72    0.000    0.000    0.020    0.000 backend_agg.py:299(_get_agg_font)
        4    0.020    0.005    0.020    0.005 {built-in method matplotlib._image.resample}
        1    0.000    0.000    0.020    0.020 Image.py:2130(save)
       12    0.000    0.000    0.020    0.002 axis.py:790(clear)
        1    0.000    0.000    0.020    0.020 _add_newdocs_scalars.py:5(<module>)
1576/1157    0.008    0.000    0.020    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    38004    0.020    0.000    0.020    0.000 {method 'split' of 'str' objects}
       16    0.000    0.000    0.019    0.001 ticker.py:433(__init__)
        1    0.000    0.000    0.019    0.019 multiarray.py:7(<module>)
      316    0.001    0.000    0.019    0.000 overrides.py:183(decorator)
        1    0.000    0.000    0.019    0.019 axis.py:2013(__init__)
    37/32    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
    37/32    0.002    0.000    0.018    0.001 {built-in method _imp.exec_dynamic}
      434    0.018    0.000    0.018    0.000 {built-in method builtins.dir}
        3    0.000    0.000    0.018    0.006 __init__.py:3(<module>)
      216    0.009    0.000    0.018    0.000 artist.py:1358(<listcomp>)
        1    0.000    0.000    0.017    0.017 category.py:11(<module>)
1533/1385    0.001    0.000    0.017    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.017    0.017 overrides.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _base.py:1182(cla)
        8    0.000    0.000    0.017    0.002 axis.py:1368(get_major_ticks)
       47    0.000    0.000    0.017    0.000 text.py:115(__init__)
       20    0.001    0.000    0.016    0.001 axis.py:57(__init__)
        1    0.000    0.000    0.016    0.016 _distributor_init.py:10(<module>)
   121645    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
    24464    0.010    0.000    0.016    0.000 enum.py:289(__call__)
    72536    0.015    0.000    0.016    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.015    0.015 __init__.py:26(<module>)
     8756    0.009    0.000    0.015    0.000 inspect.py:484(unwrap)
      303    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       86    0.001    0.000    0.015    0.000 text.py:671(draw)
        1    0.000    0.000    0.015    0.015 index_tricks.py:1(<module>)
  541/504    0.001    0.000    0.015    0.000 contextlib.py:107(__enter__)
      303    0.014    0.000    0.014    0.000 {method 'read' of '_io.FileIO' objects}
     2184    0.005    0.000    0.014    0.000 inspect.py:535(_finddoc)
        1    0.000    0.000    0.014    0.014 __init__.py:189(_check_versions)
        1    0.000    0.000    0.014    0.014 _parser.py:30(<module>)
      282    0.013    0.000    0.013    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.013    0.013 font_manager.py:14(<module>)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
        1    0.000    0.000    0.013    0.013 table.py:25(<module>)
      341    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
     1269    0.001    0.000    0.012    0.000 __init__.py:623(__setitem__)
    39500    0.009    0.000    0.012    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.012    0.012 PngImagePlugin.py:1191(_save)
        1    0.000    0.000    0.012    0.012 axis.py:2279(__init__)
        1    0.000    0.000    0.012    0.012 __init__.py:2275(class_factory)
        1    0.000    0.000    0.012    0.012 ImageFile.py:476(_save)
        1    0.000    0.000    0.012    0.012 _secondary_axes.py:1(<module>)
      109    0.000    0.000    0.012    0.000 colors.py:124(_check_color_like)
        1    0.012    0.012    0.012    0.012 {method 'encode' of 'ImagingEncoder' objects}
       49    0.000    0.000    0.011    0.000 text.py:936(set_color)
     5364    0.011    0.000    0.011    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.011    0.011 platform.py:10(<module>)
       10    0.000    0.000    0.011    0.001 axis.py:2052(_get_tick)
       10    0.000    0.000    0.011    0.001 axis.py:414(__init__)
        1    0.000    0.000    0.011    0.011 __init__.py:10(<module>)
       60    0.001    0.000    0.011    0.000 __init__.py:738(_open_file_or_url)
       33    0.011    0.000    0.011    0.000 {built-in method io.open}
        1    0.000    0.000    0.011    0.011 __init__.py:41(<module>)
       10    0.000    0.000    0.010    0.001 axis.py:2320(_get_tick)
       10    0.000    0.000    0.010    0.001 axis.py:475(__init__)
        1    0.000    0.000    0.010    0.010 core.py:4(<module>)
        1    0.000    0.000    0.010    0.010 font_manager.py:1429(_load_fontmanager)
